"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","1","0","0","1","0","1","6","0","0","1","2","1","4","3","0","2","3","1","3","1","0","2","2","1","1","1","0","3","1","0","2","2","0","1","2","0"
"27 - ALAGOAS","9","4","2","7","5","0","4","7","1","6","5","1","7","5","0","10","7","1","15","2","1","9","8","5","6","15","1","6","14","0","13","6","1","11","2","0"
"16 - AMAPA","1","0","0","2","1","0","1","2","0","2","1","0","1","1","1","4","3","0","1","0","0","1","3","0","0","3","0","1","1","0","0","1","1","2","0","0"
"13 - AMAZONAS","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","1","0","0","1","1","0","7","1","1","2","0","1","3","2","0","1","2","0","0","1","0"
"29 - BAHIA","33","36","23","32","22","19","24","29","16","27","29","14","39","21","17","44","33","15","26","36","13","46","49","24","39","24","18","36","32","23","35","40","13","39","35","15"
"23 - CEARA","22","27","1","21","21","0","27","23","3","28","20","5","31","26","2","28","32","6","31","32","2","20","31","1","35","31","1","42","18","3","50","35","1","34","25","2"
"53 - DISTRITO FEDERAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"32 - ESPIRITO SANTO","1","0","1","1","0","2","2","1","0","3","1","0","1","2","0","1","2","2","3","1","1","2","0","1","4","3","0","1","2","0","2","4","1","4","1","2"
"52 - GOIAS","8","7","4","10","3","0","19","12","5","15","8","1","14","14","2","12","16","3","20","16","2","18","14","9","12","12","2","20","14","4","16","15","5","11","12","3"
"21 - MARANHAO","44","34","20","41","33","6","61","51","19","48","43","14","58","49","11","64","47","21","66","52","25","84","64","12","62","49","11","69","69","20","92","66","18","71","39","6"
"51 - MATO GROSSO","4","5","4","5","8","4","3","6","7","6","5","6","6","3","3","6","6","4","6","6","0","12","6","2","4","4","4","9","8","1","5","5","5","5","9","1"
"50 - MATO GROSSO DO SUL","9","8","2","4","4","3","6","10","5","9","3","1","6","6","4","12","7","4","4","6","5","11","6","2","5","9","2","2","8","4","3","6","5","6","1","5"
"31 - MINAS GERAIS","65","74","32","54","45","15","99","72","31","93","56","19","82","95","19","101","101","24","98","80","24","116","112","36","93","95","25","99","83","20","107","101","25","76","88","18"
"15 - PARA","21","8","2","29","10","4","27","22","2","30","27","1","22","20","2","37","25","3","35","18","2","53","37","5","49","29","2","37","36","4","46","47","1","31","36","1"
"25 - PARAIBA","17","14","1","8","10","2","20","14","1","12","9","5","19","11","6","12","10","1","16","17","0","16","18","3","16","13","2","20","20","1","24","12","1","22","13","1"
"41 - PARANA","19","27","17","13","8","14","20","20","15","29","14","7","28","18","6","31","23","9","22","26","7","33","33","9","10","19","10","41","32","18","32","14","12","32","30","11"
"26 - PERNAMBUCO","25","16","15","16","13","6","27","23","16","12","19","8","24","18","10","27","14","9","18","25","10","35","28","4","25","16","10","26","20","11","45","29","10","21","26","7"
"22 - PIAUI","12","3","2","3","5","2","11","12","2","9","3","1","12","7","2","9","9","0","11","12","0","13","7","1","8","15","1","9","13","0","16","7","0","14","3","1"
"33 - RIO DE JANEIRO","11","20","15","11","6","12","23","11","21","16","11","6","25","14","8","19","13","11","18","22","12","16","21","11","21","21","12","18","19","17","22","13","21","22","16","13"
"24 - RIO GRANDE DO NORTE","2","0","3","1","0","0","2","2","1","1","1","0","3","2","1","2","0","1","7","3","3","2","3","1","4","4","3","5","2","3","2","4","2","1","3","1"
"43 - RIO GRANDE DO SUL","25","16","0","15","16","0","22","28","2","21","15","0","40","15","1","31","22","1","35","30","2","32","32","2","29","35","1","31","31","4","37","26","2","30","31","0"
"11 - RONDONIA","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"14 - RORAIMA","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","2","0","1","0","0","2","0","1","0","1","0"
"42 - SANTA CATARINA","4","4","1","1","2","0","8","8","5","7","1","1","8","4","4","8","8","2","10","6","1","11","5","2","7","12","0","4","7","4","9","8","4","10","5","3"
"35 - SAO PAULO","71","49","40","56","45","35","78","73","43","74","52","28","60","66","49","82","82","50","65","57","45","74","77","57","92","57","38","84","73","48","100","87","43","83","78","44"
"28 - SERGIPE","3","1","0","0","0","0","1","3","0","2","1","0","1","1","0","1","0","0","3","1","1","0","0","0","1","4","0","1","0","0","1","1","0","1","1","0"
"17 - TOCANTINS","8","15","1","8","7","0","12","8","1","16","8","0","11","7","1","15","12","1","8","11","1","20","22","1","16","7","2","23","16","3","18","20","0","13","11","2"
