"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 - ACRE","35","24","0","23","15","1","24","26","1","49","28","3","47","17","0","47","33","0","59","38","3","135","86","4","101","82","2","164","143","2","152","118","2","157","96","4"
"27 - ALAGOAS","188","113","35","105","81","28","131","146","34","161","126","40","156","114","42","180","148","73","172","180","46","173","189","75","143","135","51","185","157","76","187","152","72","135","141","47"
"16 - AMAPA","212","141","0","159","120","1","230","173","1","286","216","1","191","181","1","236","236","2","227","169","3","254","233","4","228","210","1","258","194","3","243","176","2","196","163","1"
"13 - AMAZONAS","159","137","8","145","111","5","119","133","1","148","134","5","130","95","3","138","126","6","142","114","1","139","150","9","160","123","1","178","142","5","174","127","5","177","142","2"
"29 - BAHIA","1383","1160","102","901","704","60","1126","1103","92","1297","1023","83","1195","1044","83","1238","1029","103","1725","1297","101","1588","1375","110","1351","1296","96","1558","1581","136","1468","1357","131","1275","1127","119"
"23 - CEARA","662","551","34","472","402","20","580","414","42","592","470","36","537","526","45","646","542","58","720","536","49","644","659","75","635","574","68","731","595","85","704","626","103","591","535","82"
"53 - DISTRITO FEDERAL","9","12","0","19","16","0","19","11","0","7","12","0","8","15","0","15","13","0","13","12","0","12","20","0","10","14","0","28","13","0","25","11","1","15","20","0"
"32 - ESPIRITO SANTO","132","136","5","123","81","3","99","88","1","122","110","1","112","91","2","95","103","6","103","96","3","95","90","4","79","95","4","126","101","5","119","71","2","89","113","4"
"52 - GOIAS","640","524","12","515","396","10","530","448","12","703","539","20","636","443","17","781","616","30","905","663","12","852","787","15","807","729","11","871","805","30","871","741","21","738","610","21"
"21 - MARANHAO","450","427","83","425","311","63","406","339","75","508","443","115","430","387","75","503","488","130","526","401","82","663","573","164","555","433","79","647","558","112","643","532","103","533","400","85"
"51 - MATO GROSSO","75","63","17","51","45","14","46","57","15","87","57","23","88","58","20","101","91","18","95","69","21","136","113","19","116","75","16","153","145","29","159","103","18","162","112","25"
"50 - MATO GROSSO DO SUL","978","857","8","797","678","11","803","729","5","876","742","12","742","680","13","1092","907","16","1072","889","9","1118","1003","12","1070","1013","16","1216","1197","13","1025","1028","10","951","890","9"
"31 - MINAS GERAIS","2634","2290","155","2751","2257","114","2703","2130","125","3199","2940","129","2904","2527","129","3128","2967","156","4133","3254","157","4410","3904","188","4197","4247","122","4980","5013","171","5066","4624","186","4622","4498","204"
"15 - PARA","466","280","33","420","202","24","483","327","28","613","454","28","648","421","24","738","588","59","868","581","36","1014","771","57","816","677","44","985","929","55","1035","834","62","952","675","43"
"25 - PARAIBA","782","666","23","547","406","10","618","609","9","660","639","12","733","643","15","703","595","26","809","724","21","790","769","26","753","657","15","789","824","26","694","662","12","557","512","20"
"41 - PARANA","1287","1236","69","1039","842","52","1050","953","57","1327","1062","58","1111","971","49","1315","1204","78","1563","1264","61","1605","1508","91","1484","1441","72","1954","2002","102","1918","1804","105","1694","1682","99"
"26 - PERNAMBUCO","343","266","37","250","204","22","247","282","31","323","245","30","291","221","35","308","276","40","302","263","46","353","314","47","278","283","43","399","397","62","422","337","46","363","353","49"
"22 - PIAUI","137","120","13","114","103","9","126","99","15","117","134","9","144","118","11","147","140","15","191","149","16","204","155","13","182","174","11","220","209","13","252","152","24","191","161","14"
"33 - RIO DE JANEIRO","153","119","33","149","84","46","149","118","39","191","147","45","168","154","46","215","168","74","212","141","51","231","205","83","193","175","51","211","200","67","205","194","85","193","157","73"
"24 - RIO GRANDE DO NORTE","27","19","6","20","16","6","24","18","7","29","25","10","24","22","6","24","24","12","39","28","9","45","33","15","38","26","13","58","34","9","44","46","17","33","35","8"
"43 - RIO GRANDE DO SUL","2509","2462","18","2283","1936","13","2658","2168","23","3113","2486","14","2614","2460","17","2821","2764","14","3235","2910","22","3144","3038","16","3185","3069","17","3737","3631","22","3580","3390","16","3552","3404","16"
"11 - RONDONIA","22","6","2","64","37","1","71","56","1","64","54","0","57","46","2","43","70","8","83","57","1","84","51","2","77","52","1","95","89","3","87","83","5","72","63","1"
"14 - RORAIMA","8","7","5","2","2","0","5","3","4","6","5","3","3","5","4","5","4","2","11","3","4","8","6","4","8","5","4","8","11","4","4","11","2","8","5","5"
"42 - SANTA CATARINA","558","553","15","408","384","8","518","444","20","580","438","21","478","461","16","545","512","16","674","481","22","575","536","22","493","568","24","609","628","32","585","517","41","469","429","26"
"35 - SAO PAULO","765","673","212","546","497","165","764","626","157","964","657","197","755","716","179","853","905","218","997","845","201","962","924","272","793","862","237","951","1010","292","841","796","284","751","777","271"
"28 - SERGIPE","31","25","5","30","25","2","41","19","2","52","40","6","57","41","3","48","41","5","56","54","8","56","54","6","44","50","4","50","50","6","42","42","3","54","37","5"
"17 - TOCANTINS","116","71","5","73","73","10","69","67","3","117","110","6","106","101","8","125","98","20","120","83","10","185","160","6","124","119","5","168","180","10","181","136","10","146","111","7"
