"Município";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";" Total"
"110001 ALTA FLORESTA D\'OESTE";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"6"
"110002 ARIQUEMES";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"6"
"110003 CABIXI";"5";"6";"4";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25"
"110004 CACOAL";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"15";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"29"
"110005 CEREJEIRAS";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"110006 COLORADO DO OESTE";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4"
"110007 CORUMBIARA";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"110008 COSTA MARQUES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"110010 GUAJARA-MIRIM";"0";"1";"1";"0";"1";"0";"0";"2";"5";"3";"0";"1";"1";"0";"1";"0";"2";"0";"8";"2";"0";"1";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"1";"1";"0";"0";"36"
"110011 JARU";"43";"0";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"4";"25";"3";"1";"3";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"91"
"110012 JI-PARANA";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"9";"1";"0";"1";"56";"3";"1";"0";"4";"0";"1";"1";"1";"0";"1";"0";"0";"86"
"110013 MACHADINHO D\'OESTE";"64";"50";"21";"58";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"203"
"110014 NOVA BRASILANDIA D\'OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
"110015 OURO PRETO DO OESTE";"1";"2";"4";"1";"1";"1";"3";"0";"1";"2";"3";"1";"2";"1";"3";"0";"2";"1";"3";"20";"0";"0";"1";"3";"1";"0";"2";"1";"0";"0";"2";"0";"0";"1";"1";"0";"64"
"110018 PIMENTA BUENO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"110020 PORTO VELHO";"38";"1";"6";"4";"5";"3";"3";"5";"9";"7";"8";"1";"6";"5";"5";"7";"6";"7";"28";"29";"6";"3";"3";"2";"11";"7";"2";"2";"15";"7";"7";"8";"14";"7";"2";"5";"284"
"110025 PRESIDENTE MEDICI";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"9"
