"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026961 - UBS VILA HELOISA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","17","0","3","0","0","0","0","0","2","0","0","7","0","0"
"2026988 - AMA UBS INTEGRADA VILA CALIFORNIA ZEILIVAL BRUSCAGIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","14","0","9","19","0","8","6","0","14","6","0","10","4","0"
"2026996 - AMA UBS INTEGRADA JOSE BONIFACIO I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","19","0","10","18","0","21","18","0","20","17","0","14","25","0"
"2027011 - UBS JD CARRAOZINHO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","17","0","16","22","0","6","11","0","10","18","0","7","9","0"
"2027038 - UBS CID SATELITE SANTA BARBARA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","26","0","30","36","0","25","40","0","28","34","0","22","22","0"
"2027046 - UBS JD PARAGUACU DR GONCALO FELICIANO ALVES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","30","0","12","16","0","17","14","0","32","11","0","13","16","0"
"2027054 - UBS J MARILIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","34","0","23","21","0","18","19","0","30","31","0","25","22","0"
"2027062 - UBS VILA RAMOS FREGUESIA DO O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","15","0","20","26","0","10","18","0","12","23","0","14","10","0"
"2027070 - AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","38","0","20","32","0","34","39","0","29","34","0","30","37","0"
"2027275 - UBS V ALBERTINA DR OSVALDO MARCAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","19","12","0","5","6","0","6","5","0","4","4","0"
"2027291 - UBS UNIAO VILA NOVA I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","19","0","25","16","0","9","21","0","14","28","0","14","7","0"
"2027305 - UBS PROFETA JEREMIAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","7","5","0","5","6","0","0","0","0","1","2","0"
"2027321 - UBS RECANTO CAMPO BELO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","11","0","14","21","0","28","29","0","24","37","0","8","11","0"
"2027380 - UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","2","14","0","3","8","0","5","3","0","16","12","0"
"2027461 - UBS PQ DA LAPA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","25","0","26","32","0","34","29","0","48","34","0","57","46","0"
"2027526 - UBS JARDIM NELIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","56","0","40","48","0","38","34","0","21","24","0","37","53","0"
